author_year,Sample.trt.name,Location,Substrate.source,Soil.type,Soil.texture,Soil.BD,Soil.pH,Substrate.amt,Added.C.type,Added.N.type,Headspace.gas,Inhibitors,Incubation.time,Temperature,N2O.ratio_trt,SD_trt,N2O.ratio_cont,SD_cont,n,C.initial,C.added,Total.C,N.initial,N.added,Total.N,C.N.total,C.N.added,,N2O.ratio_actual
Abalos_2012,"C, before fert",Spain,ag field,Calcaric Cambisol,sandy clay loam,1.4,7.6,30,glucose,KNO3,N2,acetylene,12,25,0.39,0.05,NA,NA,6,0.025,1.287,1.312,0.0011,0.25,0.2511,5.225009956,5.125448029,,
Abalos_2012,"C, after fert",Spain,ag field,Calcaric Cambisol,sandy clay loam,1.4,7.6,30,glucose,KNO3,N2,acetylene,12,25,0.42,0.05,NA,NA,6,0.027,1.287,1.314,6.00E-04,0.25,0.2506,5.243415802,5.135674381,,
Abalos_2012,"U, before fert",Spain,ag field,Calcaric Cambisol,sandy clay loam,1.4,7.6,30,glucose,KNO3,N2,acetylene,12,25,0.41,0.05,NA,NA,6,0.037,1.287,1.324,0.0055,0.25,0.2555,5.181996086,5.037181996,,
Abalos_2012,"U, after fert",Spain,ag field,Calcaric Cambisol,sandy clay loam,1.4,7.6,30,glucose,KNO3,N2,acetylene,12,25,0.5,0.05,NA,NA,6,0.035,1.287,1.322,0.0254,0.25,0.2754,4.800290487,4.673202614,,
Abalos_2012,"U+NBPT, before fert",Spain,ag field,Calcaric Cambisol,sandy clay loam,1.4,7.6,30,glucose,KNO3,N2,acetylene,12,25,0.38,0.05,NA,NA,6,0.035,1.287,1.322,0.0044,0.25,0.2544,5.196540881,5.058962264,,
Abalos_2012,"U+NBPT, after fert",Spain,ag field,Calcaric Cambisol,sandy clay loam,1.4,7.6,30,glucose,KNO3,N2,acetylene,12,25,0.59,0.05,NA,NA,6,0.02,1.287,1.307,0.0185,0.25,0.2685,4.867783985,4.793296089,,
Ambus_1998,ForestS-t1-high,Denmark,forest,Haplic Podsol,loamy sand,,3.7,10,none,NH4Cl + KNO3,N2,acetylene,24,20,0.9,0.2,NA,NA,2,1.4,0,1.4,0.1,0.007,0.107,13.08411215,0,,
Ambus_1998,ForestS-t2-high,Denmark,forest,Haplic Podsol,loamy sand,,3.7,10,none,NH4Cl + KNO3,N2,acetylene,24,20,0.5,0.2,NA,NA,2,1.4,0,1.4,0.006,0.007,0.013,107.6923077,0,,
Ambus_1998,ForestS-t1-low,Denmark,forest,Haplic Podsol,loamy sand,,3.6,10,none,NH4Cl + KNO3,N2,acetylene,24,20,1,0.2,NA,NA,2,0.3,0,0.3,1.1,0.007,1.107,0.27100271,0,,1.4
Ambus_1998,ForestS-t2-low,Denmark,forest,Haplic Podsol,loamy sand,,3.6,10,none,NH4Cl + KNO3,N2,acetylene,24,20,1,0.2,NA,NA,2,0.3,0,0.3,0.6,0.007,0.607,0.494233937,0,,
Ambus_1998,ForestB-t1-high,Denmark,forest,Haplic Luvisol,sandy loam,,6.2,10,none,NH4Cl + KNO3,N2,acetylene,24,20,1,0.2,NA,NA,2,1.1,0,1.1,0.04,0.007,0.047,23.40425532,0,,1.8
Ambus_1998,ForestB-t2-high,Denmark,forest,Haplic Luvisol,sandy loam,,6.2,10,none,NH4Cl + KNO3,N2,acetylene,24,20,0.2,0.2,NA,NA,2,1.1,0,1.1,0.02,0.007,0.027,40.74074074,0,,
Ambus_1998,ForestB-t1-low,Denmark,forest,Haplic Luvisol,sandy loam,,5.7,10,none,NH4Cl + KNO3,N2,acetylene,24,20,1,0.2,NA,NA,2,0.1,0,0.1,0.3,0.007,0.307,0.325732899,0,,1.6
Ambus_1998,ForestB-t2-low,Denmark,forest,Haplic Luvisol,sandy loam,,5.7,10,none,NH4Cl + KNO3,N2,acetylene,24,20,0.5,0.2,NA,NA,2,0.1,0,0.1,0.03,0.007,0.037,2.702702703,0,,
Ambus_1998,GrassR-t1-high,Denmark,grassland,Fibric Histosol,sandy loam,,7.1,10,none,NH4Cl + KNO3,N2,acetylene,24,20,0.4,0.24,NA,NA,2,0.4,0,0.4,0.7,0.007,0.707,0.565770863,0,,
Ambus_1998,GrassR-t2-high,Denmark,grassland,Fibric Histosol,sandy loam,,7.1,10,none,NH4Cl + KNO3,N2,acetylene,24,20,0.03,0.24,NA,NA,2,0.4,0,0.4,2.1,0.007,2.107,0.189843379,0,,
Ambus_1998,GrassR-t1-low,Denmark,grassland,Fibric Histosol,sandy loam,,6.6,10,none,NH4Cl + KNO3,N2,acetylene,24,20,0.5,0.24,NA,NA,2,2.3,0,2.3,0.2,0.007,0.207,11.11111111,0,,
Ambus_1998,GrassR-t2-low,Denmark,grassland,Fibric Histosol,sandy loam,,6.6,10,none,NH4Cl + KNO3,N2,acetylene,24,20,1,0.24,NA,NA,2,2.3,0,2.3,0.1,0.007,0.107,21.4953271,0,,1.9
Ambus_1998,GrassC-t1-high,Denmark,grassland,Eutric Gleysol,sand,,7.6,10,none,NH4Cl + KNO3,N2,acetylene,24,20,1,0.24,NA,NA,2,0.2,0,0.2,0.02,0.007,0.027,7.407407407,0,,3
Ambus_1998,GrassC-t2-high,Denmark,grassland,Eutric Gleysol,sand,,7.6,10,none,NH4Cl + KNO3,N2,acetylene,24,20,0.1,0.24,NA,NA,2,0.2,0,0.2,0.1,0.007,0.107,1.869158879,0,,
Ambus_1998,GrassC-t1-low,Denmark,grassland,Eutric Gleysol,sand,,6.5,10,none,NH4Cl + KNO3,N2,acetylene,24,20,0.8,0.24,NA,NA,2,3,0,3,0.007,0.007,0.014,214.2857143,0,,
Ambus_1998,GrassC-t2-low,Denmark,grassland,Eutric Gleysol,sand,,6.5,10,none,NH4Cl + KNO3,N2,acetylene,24,20,0.8,0.24,NA,NA,2,3,0,3,0.007,0.007,0.014,214.2857143,0,,
